final monument	description	program	specific rules
601259-101	GALLEY G1	BFE	NULL
601259-201	GALLEY G1	BFE	NULL
601259-301	GALLEY G1	BFE	NULL
601259-401	GALLEY G1	BFE	NULL
601260-1	GALLEY G4	BFE	NULL
601260-101	GALLEY G4	BFE	NULL
601260-201	GALLEY G4	BFE	NULL
601262-1	GALLEY G1	BFE	NULL
601263-1	GALLEY G5	BFE	NULL
601265-1	FWD R/H STOWAGE 35"	BFE	NULL
601266-1	AFT L/H STOWAGE 8"	BFE	NULL
601267-1	FWD R\H STOWAGE S	BFE	NULL
601268-1	FWD L\H WINDSCREEN	BFE	NULL
601268-101	FWD L\H WINDSCREEN	BFE	NULL
601269-1	FWD R\H WINDSCREEN	BFE	NULL
601269-101	FWD L\H WINDSCREEN	BFE	NULL
601271-1	CLOSET C1 RH/A319	BFE	NULL
601272-1	CLOSET C1 RH/A320	BFE	NULL
601273-1	LDMCR	BFE	NULL
601273-101	LDMCR	BFE	NULL
601273-1401	FINAL ASSEMBLY	BFE	NULL
601273-1701	LDMCR	BFE	NULL
601273-201	LDMCR	BFE	NULL
601273-2401	LDMCR	BFE	NULL
601273-2701	LDMCR	BFE	NULL
601273-301	LDMCR	BFE	NULL
601273-401	LDMCR	BFE	NULL
601273-501	LDMCR	BFE	NULL
601273-601	LDMCR	BFE	NULL
601273-701	LDMCR	BFE	NULL
601274-1	STAIRHOUSE	BFE	NULL
601274-101	STAIRHOUSE	BFE	NULL
601276-1	GALLEY G1	BFE	NULL
601276-101	GALLEY G1	BFE	NULL
601276-201	GALLEY 1	BFE	NULL
601277-1	GALLEY G2	BFE	NULL
601277-101	GALLEY G2	BFE	NULL
601278-1	GALLEY G5	BFE	NULL
601278-101	GALLEY G5	BFE	NULL
601278-201	GALLEY G5	BFE	NULL
601279-1	STOWAGE C	BFE	NULL
601279-101	STOWAGE C	BFE	NULL
601280-1	STOWAGE S1	BFE	NULL
601280-101	STOWAGE S1	BFE	NULL
601280-102	STOWAGE S2	BFE	NULL
601280-2	STOWAGE S2	BFE	NULL
601281-1	STOWAGE C1R	BFE	NULL
601282-1	GALLEY G1C	BFE	NULL
601283-1	BAR UNIT	BFE	NULL
601284-1	GALLEY G2	BFE	NULL
601285-1	STOWAGE C2	BFE	NULL
601286-1	PELMET	BFE	NULL
601287-1	GALLEY G5	BFE	NULL
601287-101	GALLEY G5	BFE	NULL
601288-1	GALLEY G1	BFE	NULL
601289-1	GALLEY 5	BFE	NULL
601290-1	STOWAGE C2	BFE	NULL
